strategy,z_s,z_c,self_acc,self_conf,min_class_acc,pixel_diversity,mean_intensity
prior_global_gaussian,global_gaussian,prior,0.15000000596046448,0.9338814616203308,0.0,0.15134268999099731,0.1216643676161766
prior_class_mean,class_mean,prior,1.0,0.9999977350234985,1.0,0.13199898600578308,0.12027150392532349
prior_class_diag_t0.50,class_diag_t0.50,prior,1.0,0.9903534054756165,1.0,0.1391448974609375,0.12068119645118713
prior_class_empirical,class_empirical,prior,1.0,0.9999397397041321,1.0,0.18227732181549072,0.13362766802310944
