Method,Source,Status,ACC,NMI,ARI,FID,LPIPS,SSIM,PSNR
F-CS-WAE,runs_f/cifar10/seed_0..2,3-seed mean,0.8087333333333332,0.6496199006172706,0.6324855889008087,83.04300788738999,0.21489342291355132,0.7033525109291077,21.769821166992188
F-CS-WAE,runs_f/cifar10/seed_0,seed 0,0.8043,0.6426423105195551,0.6258686377715535,83.82962331267163,0.21264578194618225,0.7073286175727844,21.877845764160156
F-CS-WAE (full ablation),runs_f/cifar10/f_ablation_20260625_183045/full/metrics.json,completed,0.8149,0.6622193592539084,0.6438409203146145,83.591108052484,0.21881346673965454,0.6973913311958313,21.658735275268555
WAE-MMD,runs/cifar10/baselines/seed_0/comparison_results.csv,seed 0,0.2099,0.0979100699999181,0.0468649715797681,235.42745609746365,0.5004903485298157,0.4675652980804443,18.609050750732425
VAE,runs/cifar10/baselines/seed_0/comparison_results.csv,seed 0,0.222,0.0955245964193822,0.0511373626060447,179.98122899196085,0.5555411390304565,0.4255975484848022,18.011199951171875
VaDE,runs/cifar10/baselines/seed_0/comparison_results.csv,seed 0,0.1475,0.0426589115331738,0.0150654485554828,475.8735038561744,0.7479123622894287,0.0110633419826626,5.887967586517334
ResNetAE,runs_f/cifar10/baselines_extended/seed_0/ResNetAE/metrics.json,seed 0,0.2202,0.10166591293848022,0.04927408311031154,121.005106584104,0.2898171176433563,0.7284489274024963,22.11920738220215
