seed,ACC,NMI,ARI,FID,LPIPS,SSIM,PSNR
0,0.8043,0.6426423105195551,0.6258686377715535,83.82962331267163,0.21264578194618225,0.7073286175727844,21.877845764160156
1,0.816,0.6607385099166438,0.6451539573825205,83.45341044516601,0.21830988943576812,0.6966864466667175,21.667034149169922
2,0.8059,0.6454788814156129,0.6264341715483523,81.84598990433233,0.2137245973587036,0.706042468547821,21.764583587646484
