metric,mean,std,min,max,n,paper
ACC,0.8087333333333332,0.005179661078573451,0.8043,0.816,3,80.87 $\pm$ 0.52
NMI,0.6496199006172706,0.00794687100588116,0.6426423105195551,0.6607385099166438,3,64.96 $\pm$ 0.79
ARI,0.6324855889008087,0.008960864061926707,0.6258686377715535,0.6451539573825205,3,63.25 $\pm$ 0.90
FID,83.04300788738999,0.8602414658074307,81.84598990433233,83.82962331267163,3,83.04 $\pm$ 0.86
LPIPS,0.21489342291355132,0.002455625283119624,0.21264578194618225,0.21830988943576812,3,0.21 $\pm$ 0.00
SSIM,0.7033525109291077,0.004742773758841956,0.6966864466667175,0.7073286175727844,3,70.34 $\pm$ 0.47
PSNR,21.769821166992188,0.08614313062862143,21.667034149169922,21.877845764160156,3,21.77 $\pm$ 0.09
