a,b,content_rate,style_rate,neither_rate,n
0,0,0.7900000214576721,0.7900000214576721,nan,100
0,1,0.07000000029802322,0.7799999713897705,0.15000002831220627,100
0,2,0.05999999865889549,0.6899999976158142,0.2500000037252903,100
0,3,0.019999999552965164,0.5299999713897705,0.45000002905726433,100
0,4,0.009999999776482582,0.5899999737739563,0.4000000264495611,100
0,5,0.0,0.6100000143051147,0.38999998569488525,100
0,6,0.019999999552965164,0.5400000214576721,0.4399999789893627,100
0,7,0.009999999776482582,0.7099999785423279,0.28000002168118954,100
0,8,0.09000000357627869,0.8600000143051147,0.04999998211860657,100
0,9,0.05999999865889549,0.6399999856948853,0.30000001564621925,100
1,0,0.009999999776482582,0.75,0.24000000022351742,100
1,1,0.8799999952316284,0.8799999952316284,nan,100
1,2,0.0,0.6800000071525574,0.3199999928474426,100
1,3,0.0,0.6399999856948853,0.36000001430511475,100
1,4,0.0,0.6000000238418579,0.3999999761581421,100
1,5,0.009999999776482582,0.49000000953674316,0.49999999068677425,100
1,6,0.009999999776482582,0.6200000047683716,0.36999999545514584,100
1,7,0.009999999776482582,0.7699999809265137,0.22000001929700375,100
1,8,0.019999999552965164,0.8399999737739563,0.14000002667307854,100
1,9,0.18000000715255737,0.6600000262260437,0.15999996662139893,100
2,0,0.10999999940395355,0.8100000023841858,0.07999999821186066,100
2,1,0.009999999776482582,0.8100000023841858,0.17999999783933163,100
2,2,0.75,0.75,nan,100
2,3,0.10999999940395355,0.6299999952316284,0.26000000536441803,100
2,4,0.14000000059604645,0.6000000238418579,0.25999997556209564,100
2,5,0.10999999940395355,0.6499999761581421,0.24000002443790436,100
2,6,0.15000000596046448,0.6399999856948853,0.21000000834465027,100
2,7,0.05000000074505806,0.7099999785423279,0.24000002071261406,100
2,8,0.029999999329447746,0.8399999737739563,0.13000002689659595,100
2,9,0.029999999329447746,0.6600000262260437,0.30999997444450855,100
3,0,0.09000000357627869,0.7699999809265137,0.14000001549720764,100
3,1,0.019999999552965164,0.7900000214576721,0.18999997898936272,100
3,2,0.07999999821186066,0.5400000214576721,0.3799999803304672,100
3,3,0.6299999952316284,0.6299999952316284,nan,100
3,4,0.12999999523162842,0.5299999713897705,0.3400000333786011,100
3,5,0.3499999940395355,0.5600000023841858,0.09000000357627869,100
3,6,0.10000000149011612,0.5199999809265137,0.3800000175833702,100
3,7,0.05000000074505806,0.7300000190734863,0.2199999801814556,100
3,8,0.03999999910593033,0.7400000095367432,0.2199999913573265,100
3,9,0.10999999940395355,0.6299999952316284,0.26000000536441803,100
4,0,0.0,0.8399999737739563,0.1600000262260437,100
4,1,0.0,0.8500000238418579,0.1499999761581421,100
4,2,0.03999999910593033,0.7799999713897705,0.18000002950429916,100
4,3,0.009999999776482582,0.6600000262260437,0.3299999739974737,100
4,4,0.6499999761581421,0.6499999761581421,nan,100
4,5,0.029999999329447746,0.5299999713897705,0.44000002928078175,100
4,6,0.07999999821186066,0.5299999713897705,0.39000003039836884,100
4,7,0.07999999821186066,0.6800000071525574,0.23999999463558197,100
4,8,0.009999999776482582,0.8100000023841858,0.17999999783933163,100
4,9,0.0,0.6200000047683716,0.3799999952316284,100
5,0,0.029999999329447746,0.7300000190734863,0.23999998159706593,100
5,1,0.009999999776482582,0.8399999737739563,0.15000002644956112,100
5,2,0.009999999776482582,0.6899999976158142,0.3000000026077032,100
5,3,0.14000000059604645,0.6800000071525574,0.17999999225139618,100
5,4,0.10999999940395355,0.6399999856948853,0.2500000149011612,100
5,5,0.46000000834465027,0.46000000834465027,nan,100
5,6,0.10000000149011612,0.5099999904632568,0.39000000804662704,100
5,7,0.10000000149011612,0.6600000262260437,0.23999997228384018,100
5,8,0.0,0.8600000143051147,0.13999998569488525,100
5,9,0.03999999910593033,0.6200000047683716,0.3399999961256981,100
6,0,0.009999999776482582,0.800000011920929,0.18999998830258846,100
6,1,0.009999999776482582,0.8799999952316284,0.110000004991889,100
6,2,0.009999999776482582,0.7300000190734863,0.2599999811500311,100
6,3,0.009999999776482582,0.7099999785423279,0.28000002168118954,100
6,4,0.0,0.6600000262260437,0.3399999737739563,100
6,5,0.019999999552965164,0.5600000023841858,0.41999999806284904,100
6,6,0.5799999833106995,0.5799999833106995,nan,100
6,7,0.019999999552965164,0.5899999737739563,0.39000002667307854,100
6,8,0.0,0.8500000238418579,0.1499999761581421,100
6,9,0.0,0.6600000262260437,0.3399999737739563,100
7,0,0.009999999776482582,0.800000011920929,0.18999998830258846,100
7,1,0.019999999552965164,0.7900000214576721,0.18999997898936272,100
7,2,0.029999999329447746,0.7099999785423279,0.2600000221282244,100
7,3,0.019999999552965164,0.6299999952316284,0.3500000052154064,100
7,4,0.07000000029802322,0.6700000166893005,0.25999998301267624,100
7,5,0.009999999776482582,0.6600000262260437,0.3299999739974737,100
7,6,0.0,0.5699999928474426,0.4300000071525574,100
7,7,0.7799999713897705,0.7799999713897705,nan,100
7,8,0.0,0.8799999952316284,0.12000000476837158,100
7,9,0.029999999329447746,0.75,0.22000000067055225,100
8,0,0.10000000149011612,0.7599999904632568,0.14000000804662704,100
8,1,0.03999999910593033,0.8299999833106995,0.1300000175833702,100
8,2,0.05000000074505806,0.6499999761581421,0.30000002309679985,100
8,3,0.0,0.6399999856948853,0.36000001430511475,100
8,4,0.0,0.5899999737739563,0.4100000262260437,100
8,5,0.029999999329447746,0.5699999928474426,0.4000000078231096,100
8,6,0.019999999552965164,0.5600000023841858,0.41999999806284904,100
8,7,0.019999999552965164,0.6600000262260437,0.31999997422099113,100
8,8,0.8500000238418579,0.8500000238418579,nan,100
8,9,0.05000000074505806,0.7099999785423279,0.24000002071261406,100
9,0,0.009999999776482582,0.8399999737739563,0.15000002644956112,100
9,1,0.03999999910593033,0.8500000238418579,0.10999997705221176,100
9,2,0.0,0.75,0.25,100
9,3,0.019999999552965164,0.6399999856948853,0.3400000147521496,100
9,4,0.0,0.550000011920929,0.44999998807907104,100
9,5,0.009999999776482582,0.6299999952316284,0.360000004991889,100
9,6,0.0,0.6100000143051147,0.38999998569488525,100
9,7,0.0,0.699999988079071,0.30000001192092896,100
9,8,0.05999999865889549,0.8100000023841858,0.12999999895691872,100
9,9,0.6600000262260437,0.6600000262260437,nan,100
