,ACC,NMI,ARI,FID,LPIPS,SSIM,PSNR
CS-WAE w/o Supervised MMD,0.4456,0.36097673820634374,0.24356169541308084,41.6116791577312,0.05341122261285782,0.8515892624855042,17.168298721313477
CS-WAE (Euclidean),0.1135,0.0,0.0,270.22558860554847,0.19266466031074525,0.2294176071882248,11.260712623596191
CS-WAE (von Mises-Fisher),0.2277,0.10782784607319046,0.052646782758692535,52.8265840057345,0.02093529787659645,0.9609222412109375,22.86526107788086
Minimal CS-WAE,0.1135,0.0,0.0,276.76235846132465,0.19202741966247558,0.22700239717960358,11.264134407043457
