,CS-WAE w/o Supervised MMD,CS-WAE (Euclidean),CS-WAE (von Mises-Fisher),Minimal CS-WAE
0.0,0.01915654167532921,0.07480417191982269,0.005169800948351622,0.07474670559167862
0.1,0.04139777272939682,0.07480456680059433,0.02986590750515461,0.07474680244922638
0.2,0.09848330914974213,0.07480432838201523,0.0648367777466774,0.0747452974319458
0.3,0.12962238490581512,0.07480471581220627,0.08839089423418045,0.07474625110626221
0.4,0.14584776759147644,0.07480449229478836,0.10559264570474625,0.07474616169929504
0.5,0.15714438259601593,0.07480446249246597,0.11811748892068863,0.07474616169929504
